medicine_name,used_for
Multivitamin 19,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 19,दमा और सांस की तकलीफ में राहत
Betadine 19,घावों को साफ़ करने के लिए
Domperidone 19,उल्टी और मतली में राहत के लिए
Diclofenac 19,दर्द और सूजन में उपयोगी
Paracetamol 20,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 20,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 20,सूजन और दर्द में राहत के लिए
Ciprofloxacin 20,संक्रमण के इलाज में उपयोगी
Metronidazole 20,दस्त और संक्रमण में उपयोगी
Azithromycin 20,गले और छाती के संक्रमण के लिए
Levocetirizine 20,एलर्जी और छींक में राहत के लिए
Cetirizine 20,एलर्जी और खुजली में उपयोगी
Pantoprazole 20,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 20,पेट की गैस और जलन में राहत
Omeprazole 20,अम्लता में राहत के लिए
